2,Community Name,,Used For,Alternate Names/Spellings,Cultural Affiliations,Political Affiliations,Language(s),Treaty/Agreement/Settlement,Band #,Reserve/Settlement Name,Reserve/Settlement Location (NRCan),Source(s),Notes,Vetted by,Vetted date,,,,,,,,,,,,,,,
3,Aamjiwnaang,,"Aamjiwnaang First Nation
Chippewas of Sarnia",,"Anishnabek
Ojibway",Union of Ontario Indians,"Ojibwemowin
English",Upper Canada Treaties Area 2,172,Sarnia 45,http://www4.rncan.gc.ca/search-place-names/unique/FETBD,"http://www.aamjiwnaang.ca
http://www.firstnation.ca/aamjiwnaang-chippewas-sarnia-first-nation
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=172",,Tim Knight,11Sep2018,,,,,,,,,,,,,,,
4,Abegweit Mi'kmaq Nation,,,Abegweit First nation,Mi'kmaq,Mi'kmaq Confederacy of PEI Inc.,"Mi'kmaw, English",Peace and Friendship Treaties,1,"MORELL 2
ROCKY POINT 3
SCOTCHFORT 4","38.4 KM NE/NE OF/DE CHARLOTTETOWN 
S.S. OF CHARLOTTETOWN HARBOUR 
24 KM NE/NE OF/DE CHARLOTTETOWN","http://www.abegweit.ca/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=1
https://www.thecanadianencyclopedia.ca/en/article/peace-and-friendship-treaties",,Patricia Knockwood,2019-06-14,,,,,,,,,,,,,,,
5,Abenaki,,,Alnôbak,,Conseil des Abénakis d'Odanak,,,,,,https://caodanak.com/en/,,,,,,,,,,,,,,,,,,
6,Acadia First Nation,,,Malikiaq,Mi'kmaq,"Union of Nova Scotia Indians
Confederacy of Mainland MI'kmaq","English
Mi'kmaw",Peace and Friendship Treaties,18,"GOLD RIVER 21 
HAMMONDS PLAINS 
MEDWAY RIVER 11 
PONHOOK LAKE 10 
WILDCAT 12 
YARMOUTH 33","60.8 KM W OF/DE HALIFAX 
32 KM N OF HALIFAX 
108.8 KM SW OF HALIFAX 
115.2 KM SW OF/DE HALIFAX 
111 KM SW/SO OF/DE HALIFAX 
3.2 KM E OF/DE YARMOUTH","https://www.cbu.ca/indigenous-affairs/unamaki-college/mikmaq-resource-centre/mikmaw-band-councils/mikmaw-bands-in-nova-scotia/ http://www.acadiafirstnation.ca/ http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=18 
http://cmmns.com/member-communities/
https://www.thecanadianencyclopedia.ca/en/article/peace-and-friendship-treaties",,Patricia Knockwood,2019-06-14,,,,,,,,,,,,,,,
7,Adams Lake Indian Band,,Adams Lake,Sexqeltqin,Secwepemc Nation,Shuswap Nation Tribal Council,Secwepemctsín,,684,"Hustalen 1
Sahhaltkum 4
Squaam 2
Stequmwhulpa 5
Switsemalph 6
Switsemalph 7
Toops 3","http://www4.rncan.gc.ca/search-place-names/unique/JDKZU
http://www4.rncan.gc.ca/search-place-names/unique/JDKZG
http://www4.rncan.gc.ca/search-place-names/unique/JDKZI
http://www4.rncan.gc.ca/search-place-names/unique/JDKZH
http://www4.rncan.gc.ca/search-place-names/unique/JDKZN
http://www4.rncan.gc.ca/search-place-names/unique/JDKZO
http://www4.rncan.gc.ca/search-place-names/unique/JDKZJ","http://adamslakeband.org/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=684",Chase,Morning Star Padilla,16Aug2018,,,,,,,,,,,,,,,
8,Agency Chiefs Tribal Council,,,,,,,,,,,https://agencychiefs.com/,,Don Johnson,05Jun2019,,,,,,,,,,,,,,,
9,Ahousaht,,,,Central Region,Nuu-chah-nulth Tribal Council,Nuučaan̓uɫ,,659,"Ahous 16
Bartlett Island 32
Chetarpe 17
Cloolthpich 12
Hisnit Fishery 34
Kishnacous 29
Kutcous Point 33
Marktosis 15
Moyehai 23
Oinimitis 14
Openit 27
Peneetle 22
Quortsowe 13
Seektukis 24
Sutaquis 18
Swan 35
Tequa 21
Tootoowiltena 28
Vargas Island 31
Wahous 19
Wahous 20
Wappook 26
Watta 25
Yarksis 11","http://www4.rncan.gc.ca/search-place-names/unique/JDKIC
http://www4.rncan.gc.ca/search-place-names/unique/JDKMF
http://www4.rncan.gc.ca/search-place-names/unique/JDKID
http://www4.rncan.gc.ca/search-place-names/unique/JDKHQ
http://www4.rncan.gc.ca/search-place-names/unique/JDKMD
http://www4.rncan.gc.ca/search-place-names/unique/JDKMA
http://www4.rncan.gc.ca/search-place-names/unique/JDKME
http://www4.rncan.gc.ca/search-place-names/unique/JDKIB
http://www4.rncan.gc.ca/search-place-names/unique/JDKLY
http://www4.rncan.gc.ca/search-place-names/unique/JDKHS
http://www4.rncan.gc.ca/search-place-names/unique/JDKMC
http://www4.rncan.gc.ca/search-place-names/unique/JDKIA
http://www4.rncan.gc.ca/search-place-names/unique/JDKHR
http://www4.rncan.gc.ca/search-place-names/unique/JDKLX
http://www4.rncan.gc.ca/search-place-names/unique/JDKIE
http://www4.rncan.gc.ca/search-place-names/unique/JDKMJ
http://www4.rncan.gc.ca/search-place-names/unique/JDKHZ
http://www4.rncan.gc.ca/search-place-names/unique/JDKMB
http://www4.rncan.gc.ca/search-place-names/unique/JDKMG
http://www4.rncan.gc.ca/search-place-names/unique/JDKHX
http://www4.rncan.gc.ca/search-place-names/unique/JDKHY
http://www4.rncan.gc.ca/search-place-names/unique/JDKLV
http://www4.rncan.gc.ca/search-place-names/unique/JDKLW
http://www4.rncan.gc.ca/search-place-names/unique/JDKHP","http://www.ahousaht.ca/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=659",Ahousaht,Morning Star Padilla,24Aug2018,,,,,,,,,,,,,,,
10,Ahtahkakoop,,Ahtahkakoop Cree Nation,,Cree,Battlefords Agency Tribal Chiefs Inc.,,Treaty 6,406,,,"http://www.ahtahkakoop.ca/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=406",,Don Johnson,05Jun2019,,,,,,,,,,,,,,,
11,Aitchelitz First Nation,,Aitchelitz Band,"Áthelets
Yookuh-kahmihn",Stó:lō Nation,"Stó:lō Xwexwilmexw Treaty Association
Ts'elxweyeqw Tribe","Halq'eméylem
English",,558,"Aitchelitch 9
Grass 15
Pekw'Xe:yles
Skumalasph 16","http://www4.rncan.gc.ca/search-place-names/unique/JDJYO
http://www4.rncan.gc.ca/search-place-names/unique/JDJPH
http://www4.rncan.gc.ca/search-place-names/unique/JDIEO
http://www4.rncan.gc.ca/search-place-names/unique/JDJPM","http://sxta.bc.ca/sxta-communities/aitchelitz/
https://bcafn.ca/community/aitchelitz/
http://fnp-ppn.aandc-aadnc.gc.ca/fnp/Main/Search/FNMain.aspx?BAND_NUMBER=558","""The point where two rivers meet.""","Morning Star Padilla
Tim Knight","15Aug2018
20Jun2019",,,,,,,,,,,,,,,
12,Aklavik,,,Aklarvik,"Gwich’in traditional territory
Inuvialuit","Inuvialuit Regional Corporation
Gwichya Gwich’in Council","English
Inuvialuktun
Inuinnaqtun
Inuktitut","Inuvialuit Final Agreement
Treaty 11
Gwich'in Comprehensive Land Claim Agreement (April 22, 1992)",n/a,,60°33'N/116°08'W / 85-C,"http://irc.inuvialuit.com/community/aklavik
http://www.aklavik.ca/?p=home","Established around 1910, was the regional administrative centre for the Mackenzie Delta region until 1961. Aklavik was threatened by the moving delta in the 1950s, so the town of Inuvik was built with the intention of moving the entire community there, though it was never actually moved. Inuvialuktun name","Lisc Daley
Carol Rigby
(Tim Knight)","14Sep2018
08Mar2019",,,,,,,,,,,,,,,
